,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2015,33489913414303,2549930735072,463937856556,6820432642276,23036474887188,619137293211,17981757637718,287889360524,5150025493723,437183141494,4032640975749,7596140388220,467928353672,9949924336,51471671052021,40156172812476,22780988229136,17375184583340,11315498239545,11112269391298,203228848247,51471671052021
2016,37024004184520,1667163001525,2006548028550,6801388929761,26270281710096,278622514588,20222327690315,326049375913,5401218716169,513256035922,5223768028670,8153254275878,598440975822,6340281941,57246331874835,44196687716365,25046818386040,19149869330325,13049644158470,13048789275701,854882769,57246331874835
2017,36989890553706,2967781230625,616351311545,6400193854923,26896603335511,108960821102,13641086202656,635120022812,1592601489496,703526617912,1813682181651,8364518835798,531540115979,96939008,50630976756362,39605386531267,25655942028194,13949444503073,11025590225095,11025590225095,0,50630976756362
2018,30512152287300,2577622049939,424023879195,5830458765531,21618842071107,61205521528,14671588083345,450577574803,1728857505977,658903771183,2161705686414,8919170426327,752295567434,77551207,45183740370645,31653148196537,22143097289689,9510050906848,13530592174108,13530592174108,0,45183740370645
2019,27964817664724,416723733815,326294890410,4318892531593,22877133518012,25772990894,15550778622695,325794188433,1844300128711,664076848530,2052551817898,10033993432653,630004043064,58163406,43515596287419,27765475536314,21812703842728,5952771693586,15750120751105,15750120751105,0,43515596287419
2020,29840554795361,1775586531828,64495000000,3779340483397,24190830285310,30302494826,18644777249991,311904517433,1818939863833,812213106140,2936418080995,12185746848878,579516057106,38775605,48485332045352,31297860239225,21452716401687,9845143837538,17187471806127,17187471806127,0,48485332045352
2021,29147111201478,2984749370323,214090000000,4942398293993,20930609125935,75264411227,19805329577135,318329217816,1219713801618,455566894529,2296538741682,15059415443761,455765477729,0,48952440778613,31807520030579,18470352093918,13337167936661,17144920748034,17144920748034,0,48952440778613
2022,27851211212508,1070646673840,436495062079,5315103059762,20861385649527,167580767300,20438363998936,569737494444,1244362163479,424698865350,1892553976672,15883747073831,423264425160,0,48289575211444,30344447676397,18641565806059,11702881870338,17945127535047,17945127535047,0,48289575211444
2023,28440868532000,1332254152561,87314044988,7023976107081,19833611109149,163713118221,24983033405257,532900344879,1159631559571,2535424205616,3190878584313,17225939343913,338259366965,0,53423901937257,33951011068428,22997575585298,10953435483130,19472890868829,19472890868829,0,53423901937257
